Language,Name,Profession,Gender,Age,Elimination Date,Elimination Week Number,Contestant Number,Wild Card,Host Name,Broadcasted By,OTT Platform,Average TRP,Most Viewed States,House Location,OTT Season,Number of Evictions Faced,Number of Times Elected as Captain,Number of Re-entries,Walked,Ejected,In Secret-Room,Won Eviction Free Pass,Won Ticket to Finale,Secret Task,Social Media Popularity,Finalist,Winner
Hindi,Shilpa Shirodkar_866,Actress,Female,Old,,15.0,1.0,No,Salman Khan,Colors,JioCinema,,"Maharashtra, Bihar, Delhi, Haryana, Jharkhand, Madhya Pradesh, Rajasthan, Uttarakhand, Uttar Pradesh",Mumbai,No,5,,,,,,,,,,0.0,0
Hindi,Rochelle Rao_502,Pageant Winner,Female,Young,23-Jan-16,15.0,10.0,No,Salman Khan,Colors,,2.9,"Maharashtra, Bihar, Delhi, Haryana, Jharkhand, Madhya Pradesh, Rajasthan, Uttarakhand, Uttar Pradesh",Lonavala,No,8,0.0,0.0,0.0,0.0,,,,,,1.0,0
Telugu,Sampoornesh Babu_792,Actor,Male,Middle,25-Jul-17,,11.0,No,Jr. NTR,Star Maa,,15.0,"Telangana, Andhra Pradesh",Lonavala,No,1,1.0,0.0,1.0,0.0,,,,,,0.0,0
Telugu,Madhu Priya_545,Singer,Female,Young,30-Jul-17,2.0,5.0,No,Jr. NTR,Star Maa,,15.0,"Telangana, Andhra Pradesh",Lonavala,No,2,0.0,0.0,0.0,0.0,,,,,,0.0,0
Hindi,Ragini Shetty_500,Commoner,Female,Young,,7.0,7.0,No,Arshad Warsi,Sony,,2.72,"Maharashtra, Bihar, Delhi, Haryana, Jharkhand, Madhya Pradesh, Rajasthan, Uttarakhand, Uttar Pradesh",Lonavala,No,2,0.0,0.0,0.0,0.0,,,,,,0.0,0
Kannada,Krishi Thapanda_621,Actress,Female,Young,,12.0,9.0,No,Sudeep,Colors Super,Voot,,Karnataka,Bengaluru,No,6,1.0,1.0,0.0,0.0,,,,,,0.0,0
Marathi,Heena Panchal_287,Choreographer,Female,Young,,12.0,16.0,Yes,Mahesh Manjrekar,Colors Marathi,,,Maharashtra,Mumbai,No,7,0.0,0.0,0.0,0.0,,,,,,0.0,0
Tamil,Vaiyapuri_975,Comedian,Male,Middle,,12.0,3.0,No,Kamal Haasan,Star Vijay,,7.8,Tamil Nadu,Chennai,No,5,1.0,0.0,0.0,0.0,,,,,,0.0,0
Kannada,Avinash Shetty_796,Actor,Male,Middle,,11.0,20.0,Yes,Sudeep,Colors Kannada,JioCinema,,Karnataka,Bengaluru,No,3,,,,,,,,,,0.0,0
Telugu,Surya Kiran_667,Film Director,Male,Middle,13-Sep-20,1.0,2.0,No,Nagarjuna,Star Maa,Disney+ Hotstar,20.1,"Telangana, Andhra Pradesh",Hyderabad,No,1,0.0,0.0,0.0,0.0,,,,,,0.0,0
Hindi,Digvijay Singh Rathee_33,Reality Show Alumni,Male,Young,,11.0,19.0,Yes,Salman Khan,Colors,JioCinema,,"Maharashtra, Bihar, Delhi, Haryana, Jharkhand, Madhya Pradesh, Rajasthan, Uttarakhand, Uttar Pradesh",Mumbai,No,4,1.0,,,,,,,,,0.0,0
Kannada,Prashanth Sambargi_722,Activist,Male,Middle,,11.0,12.0,No,Sudeep,Colors Kannada,Voot,,Karnataka,Bengaluru,No,10,1.0,0.0,0.0,0.0,,,,,,0.0,0
Hindi,Delnaaz Irani_409,Actress,Female,Middle,9-Jan-13,14.0,8.0,No,Salman Khan,Colors,,3.81,"Maharashtra, Bihar, Delhi, Haryana, Jharkhand, Madhya Pradesh, Rajasthan, Uttarakhand, Uttar Pradesh",Lonavala,No,5,2.0,0.0,0.0,0.0,,,,,,0.0,0
Tamil,Ranjith_1,Actor,Male,Old,,11.0,9.0,No,Vijay Sethupathi,Star Vijay,Disney+ Hotstar,9.75,Tamil Nadu,Chennai,No,7,1.0,,,,,,,,,0.0,0
Hindi,Nishant Bhat_489,Choreographer,Male,Middle,,17.0,16.0,No,Salman Khan,Colors,Voot,,"Maharashtra, Bihar, Delhi, Haryana, Jharkhand, Madhya Pradesh, Rajasthan, Uttarakhand, Uttar Pradesh",Mumbai,No,8,1.0,0.0,0.0,0.0,,1.0,,,7.0,1.0,0
Telugu,Syamala Pavala_346,TV Anchor,Female,Middle,,13.0,8.0,No,Nani,Star Maa,,15.0,"Telangana, Andhra Pradesh",Hyderabad,No,5,0.0,1.0,0.0,0.0,,,,,,0.0,0
Tamil,Aaryan Dinesh Kanagaratnam_871,Singer,Male,Middle,,14.0,10.0,No,Kamal Haasan,Star Vijay,Disney+ Hotstar,15.3,Tamil Nadu,Chennai,No,6,1.0,0.0,0.0,0.0,,,,,,0.0,0
Hindi,Vishal Kotian_1000,Soap Actor,Male,Middle,,8.0,2.0,No,Salman Khan,Colors,Voot,,"Maharashtra, Bihar, Delhi, Haryana, Jharkhand, Madhya Pradesh, Rajasthan, Uttarakhand, Uttar Pradesh",Mumbai,No,5,0.0,0.0,0.0,0.0,,,,,,0.0,0
Telugu,Neha Chowdary_968,TV Anchor,Female,Young,25-Sep-22,3.0,4.0,No,Nagarjuna,Star Maa,Disney+ Hotstar,8.4,"Telangana, Andhra Pradesh",Hyderabad,No,1,0.0,0.0,0.0,0.0,,,,,,0.0,0
Tamil,Vikraman Radhakrishnan_656,Actor,Male,Middle,,15.0,13.0,No,Kamal Haasan,Star Vijay,Disney+ Hotstar,15.3,Tamil Nadu,Chennai,No,10,0.0,0.0,0.0,0.0,,,,,9.0,1.0,0
Kannada,Niveditha Gowda_204,Commoner - Student,Female,Young,,15.0,4.0,No,Sudeep,Colors Super,Voot,,Karnataka,Bengaluru,No,11,1.0,0.0,0.0,0.0,,,,,6.0,1.0,0
Telugu,Tejaswi Madivada_910,Actress,Female,Young,,5.0,6.0,No,Nagarjuna,,Disney+ Hotstar,,"Telangana, Andhra Pradesh",Hyderabad,Yes,2,1.0,0.0,0.0,0.0,,,,,,0.0,0
Hindi,Raja Chaudhary_778,Actor,Male,Middle,22-Nov-08,14.0,9.0,No,Shilpa Shetty,Colors,,2.89,"Maharashtra, Bihar, Delhi, Haryana, Jharkhand, Madhya Pradesh, Rajasthan, Uttarakhand, Uttar Pradesh",Lonavala,No,6,0.0,2.0,1.0,0.0,1.0,1.0,,,,1.0,0
Hindi,Priyanka Chahar Choudhary_178,Soap Actress,Female,Young,,19.0,4.0,No,Salman Khan,Colors,Voot,,"Maharashtra, Bihar, Delhi, Haryana, Jharkhand, Madhya Pradesh, Rajasthan, Uttarakhand, Uttar Pradesh",Mumbai,No,5,0.0,0.0,0.0,0.0,,,,,8.0,1.0,0
Kannada,Prashanth Sambargi_707,Activist,Male,Middle,,,16.0,No,Sudeep,Colors Kannada,Voot,,Karnataka,Bengaluru,No,14,2.0,0.0,0.0,0.0,,,,,7.0,1.0,0
Hindi,Sambhavna Seth_950,Actress,Female,Middle,,4.0,9.0,No,Farah Khan,Colors,,2.82,"Maharashtra, Bihar, Delhi, Haryana, Jharkhand, Madhya Pradesh, Rajasthan, Uttarakhand, Uttar Pradesh",Lonavala,No,4,0.0,0.0,0.0,0.0,,,,,,0.0,0
